"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T3 Large","t3.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0832 hourly","$0.0522 hourly","$0.0507 hourly","$0.1108 hourly","$0.0798 hourly"
"X2GD Medium","x2gd.medium","16.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0835 hourly","$0.0515 hourly","$0.0381 hourly","unavailable","unavailable"
"C5 High-CPU Large","c5.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0850 hourly","$0.0540 hourly","$0.0400 hourly","$0.1770 hourly","$0.1460 hourly"
"C6I Large","c6i.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0850 hourly","$0.0562 hourly","$0.0619 hourly","$0.1770 hourly","$0.1482 hourly"
"M5A Large","m5a.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0860 hourly","$0.0540 hourly","$0.0645 hourly","$0.1780 hourly","$0.1460 hourly"
"C5AD Large","c5ad.large","4.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.0860 hourly","$0.0540 hourly","$0.0642 hourly","$0.1780 hourly","$0.1460 hourly"
"M6A Large","m6a.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0864 hourly","$0.0571 hourly","$0.0541 hourly","$0.1784 hourly","$0.1492 hourly"
"C6GN Large","c6gn.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.0864 hourly","$0.0545 hourly","$0.0702 hourly","unavailable","unavailable"
"M1 General Purpose Medium","m1.medium","3.75 GiB","1 vCPUs","410 GB                 HDD","Moderate","$0.0870 hourly","$0.0560 hourly","$0.0181 hourly","$0.1490 hourly","$0.1150 hourly"
"M6GD Large","m6gd.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.0904 hourly","$0.0570 hourly","$0.0701 hourly","unavailable","unavailable"
"C7GD Large","c7gd.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0907 hourly","$0.0572 hourly","$0.0642 hourly","unavailable","unavailable"
